Name,Filter,Product,Type,Operator,Value
AZBN_ROT_LIFE,AZBN_ROT_LIFE,UC,Treatments,Starts With,AZBN_ROT_LIFE_
AZBN_ROT_LIFE,AZBN_ROT_LIFE,UC,User Groups,All,N\A
AZBN_ROT_LIFE,AZBN_ROT_LIFE,UC,Users,ALL,N\A
AZBN_ROT_INCASSO,AZBN_ROT_INCASSO,Conductor,Actions,ALL,N\A
AZBN_ROT_INCASSO,AZBN_ROT_INCASSO,Conductor,Parameters,ALL,N\A
AZBN_ROT_INCASSO,AZBN_ROT_INCASSO,Conductor,Services,Starts With,AZBN_ROT_INCASSO_
AZBN_ROT_INCASSO,AZBN_ROT_INCASSO,Conductor,Time Layers,ALL,N\A
AZBN_ROT_INCASSO,AZBN_ROT_INCASSO,Conductor,Time Schedules,Starts With,AZBN_ROT_INCASSO_
AZBN_ROT_INCASSO,AZBN_ROT_INCASSO,storm Contact,Agent Groups,Starts With,AZBN_ROT_INCASSO_
AZBN_ROT_INCASSO,AZBN_ROT_INCASSO,storm Contact,Agents,All,N\A
AZBN_ROT_INCASSO,AZBN_ROT_INCASSO,storm Contact,Queues,Starts With,AZBN_ROT_INCASSO_
AZBN_ROT_INCASSO,AZBN_ROT_INCASSO,UC,Treatments,Starts With,AZBN_ROT_INCASSO_
AZBN_ROT_INCASSO,AZBN_ROT_INCASSO,UC,User Groups,All,N\A
AZBN_ROT_INCASSO,AZBN_ROT_INCASSO,UC,Users,ALL,N\A
AZBN_ROT_FLEET,AZBN_ROT_FLEET,Conductor,Actions,ALL,N\A
AZBN_ROT_FLEET,AZBN_ROT_FLEET,Conductor,Parameters,ALL,N\A
AZBN_ROT_FLEET,AZBN_ROT_FLEET,Conductor,Services,Starts With,AZBN_ROT_FLEET_
AZBN_ROT_FLEET,AZBN_ROT_FLEET,Conductor,Time Layers,ALL,N\A
AZBN_ROT_FLEET,AZBN_ROT_FLEET,Conductor,Time Schedules,Starts With,AZBN_ROT_FLEET_
AZBN_ROT_FLEET,AZBN_ROT_FLEET,storm Contact,Agent Groups,Starts With,AZBN_ROT_FLEET_
AZBN_ROT_FLEET,AZBN_ROT_FLEET,storm Contact,Agents,All,N\A
AZBN_ROT_FLEET,AZBN_ROT_FLEET,storm Contact,Queues,Starts With,AZBN_ROT_FLEET_
AZBN_ROT_FLEET,AZBN_ROT_FLEET,UC,Treatments,Starts With,AZBN_ROT_FLEET_
AZBN_ROT_FLEET,AZBN_ROT_FLEET,UC,User Groups,All,N\A
AZBN_ROT_FLEET,AZBN_ROT_FLEET,UC,Users,ALL,N\A
AZBN_BRU,AZBN_BRU,Conductor,Actions,ALL,N\A
AZBN_BRU,AZBN_BRU,Conductor,Parameters,ALL,N\A
AZBN_BRU,AZBN_BRU,Conductor,Services,Starts With,AZBN_BRU_
AZBN_BRU,AZBN_BRU,Conductor,Time Layers,ALL,N\A
AZBN_BRU,AZBN_BRU,Conductor,Time Schedules,Starts With,AZBN_BRU_
AZBN_BRU,AZBN_BRU,storm Contact,Agent Groups,Starts With,AZBN_BRU_
AZBN_BRU,AZBN_BRU,storm Contact,Agents,All,N\A
AZBN_BRU,AZBN_BRU,storm Contact,Queues,Starts With,AZBN_BRU_
AZBN_BRU,AZBN_BRU,UC,Treatments,Starts With,AZBN_BRU_
AZBN_BRU,AZBN_BRU,UC,User Groups,All,N\A
AZBN_BRU,AZBN_BRU,UC,Users,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_BROKER,Conductor,Actions,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_BROKER,Conductor,Parameters,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_BROKER,Conductor,Services,Starts With,AZBN_BRU_BROKER_
AZBN_BRU_CCCBROKER,AZBN_BRU_BROKER,Conductor,Time Layers,ALL,N\A
